FIPS2,Probability
01001,57.8
01003,57.8
01005,60.9
01007,60.9
01009,58.9
01011,60.9
01013,66.1
01015,57.8
01017,59.5
01019,66.4
01021,59.9
01023,67.5
01025,67.5
01027,59.9
01029,59.9
01031,57.8
01033,59.9
01035,67.5
01037,59.9
01039,67.5
01041,59.5
01043,58.9
01045,57.8
01047,67.5
01049,58.9
01051,57.8
01053,60.9
01055,57.8
01057,66.4
01059,59.9
01061,60.9
01063,67.5
01065,67.5
01067,60.9
01069,59.5
01071,59.9
01073,59.5
01075,66.4
01077,57.8
01079,59.9
01081,57.3
01083,57.8
01085,67.5
01087,67.5
01089,57.3
01091,60.9
01093,59.9
01095,57.8
01097,58.9
01099,67.5
01101,58.9
01103,57.8
01105,67.5
01107,60.9
01109,58.9
01111,60.9
01113,60.9
01115,57.8
01117,57.3
01119,67.5
01121,60.9
01123,57.8
01125,57.8
01127,59.9
01129,67.5
01131,67.5
01133,58.9
02013,56.5
02016,56.5
02020,56.5
02050,64.1
02060,55.9
02068,56.1
02070,56.9
02090,56.5
02100,55.9
02110,55.6
02122,55.9
02130,55.6
02150,55.6
02158,59.2
02164,56.1
02170,63.1
02180,55.6
02185,63.4
02198,55.6
02230,56.1
02240,55.6
02282,55.3
02290,64.1
04001,56.9
04003,56.5
04005,57.8
04007,55.9
04009,58.7
04011,56.1
04012,59.2
04013,56.5
04015,56.1
04017,57.8
04019,56.5
04021,56.5
04023,56.9
04025,56.1
04027,58.7
05001,59.5
05003,60.9
05005,56.6
05007,56.3
05009,56.6
05011,60.9
05013,59.9
05015,57.7
05017,60.9
05019,59.5
05021,64.9
05023,56.6
05025,59.9
05027,59.5
05029,59.9
05031,57.8
05033,56.9
05035,59.5
05037,59.5
05039,59.9
05041,60.9
05043,57.8
05045,57.8
05047,56.9
05049,64.9
05051,57.8
05053,59.9
05055,58.9
05057,60.9
05059,59.9
05061,57.8
05063,57.8
05065,59.9
05067,60.9
05069,59.5
05071,56.9
05073,60.9
05075,67.2
05077,60.9
05079,60.9
05081,59.9
05083,56.3
05085,57.8
05087,57.7
05089,56.6
05091,59.5
05093,59.5
05095,60.9
05097,57.7
05099,60.9
05101,57.7
05103,60.9
05105,59.9
05107,67.5
05109,57.8
05111,60.9
05113,57.7
05115,57.8
05117,66.4
05119,57.3
05121,58.9
05123,59.5
05125,57.8
05127,58.0
05129,57.7
05131,57.3
05133,59.9
05135,59.9
05137,64.9
05139,59.5
05141,57.7
05143,57.3
05145,57.8
05147,67.5
05149,56.9
06001,56.2
06003,55.9
06005,57.1
06007,55.6
06009,56.1
06011,56.1
06013,56.5
06015,56.5
06017,55.6
06019,58.2
06021,55.6
06023,55.6
06025,58.7
06027,56.1
06029,56.5
06031,56.5
06033,57.1
06035,57.1
06037,56.2
06039,58.2
06041,56.5
06043,56.1
06045,55.6
06047,56.5
06049,56.1
06051,55.9
06053,56.5
06055,56.5
06057,55.9
06059,56.2
06061,55.6
06063,56.1
06065,56.5
06067,56.5
06069,55.6
06071,56.5
06073,56.5
06075,56.2
06077,56.5
06079,56.5
06081,56.2
06083,56.5
06085,56.2
06087,55.6
06089,55.6
06091,55.9
06093,56.1
06095,56.5
06097,55.6
06099,56.5
06101,56.5
06103,56.1
06105,55.9
06107,57.2
06109,57.1
06111,56.5
06113,56.5
06115,58.2
08001,56.5
08003,57.8
08005,56.5
08007,55.9
08009,59.2
08011,57.1
08013,55.6
08015,57.1
08017,55.9
08019,56.1
08021,55.9
08023,56.9
08025,58.7
08027,59.2
08029,55.9
08031,58.2
08033,55.5
08035,55.6
08037,56.1
08039,56.1
08041,56.5
08043,57.1
08045,55.9
08047,56.1
08049,55.9
08051,55.9
08053,55.5
08055,56.9
08057,55.9
08059,55.6
08061,55.9
08063,59.1
08065,55.9
08067,55.9
08069,55.6
08071,56.1
08073,57.1
08075,57.1
08077,56.1
08079,55.5
08081,55.9
08083,55.9
08085,55.9
08087,57.1
08089,57.8
08091,55.9
08093,55.9
08095,55.9
08097,56.1
08099,56.9
08101,57.1
08103,58.1
08105,55.9
08107,55.9
08109,56.9
08111,55.9
08113,55.9
08115,55.9
08117,56.1
08119,55.9
08121,58.1
08123,56.1
08125,55.9
09001,56.5
09003,56.5
09005,55.6
09007,56.5
09009,56.5
09011,56.5
09013,56.5
09015,57.1
10001,56.5
10003,56.5
10005,57.1
11001,58.2
12001,56.5
12003,57.1
12005,56.5
12007,57.1
12009,56.5
12011,56.5
12013,57.1
12015,57.1
12017,57.1
12019,56.5
12021,57.1
12023,57.1
12027,58.7
12029,59.1
12031,56.5
12033,58.2
12035,56.5
12037,60.1
12039,58.7
12041,59.1
12043,58.7
12045,60.1
12047,58.7
12049,58.7
12051,58.7
12053,57.1
12055,58.7
12057,56.5
12059,60.1
12061,57.1
12063,57.1
12065,59.1
12067,60.1
12069,56.5
12071,57.1
12073,56.5
12075,58.7
12077,59.1
12079,60.1
12081,56.5
12083,58.7
12085,57.1
12086,56.7
12087,57.1
12089,57.1
12091,56.5
12093,57.1
12095,56.5
12097,56.5
12099,56.5
12101,56.5
12103,56.5
12105,56.5
12107,58.7
12109,56.5
12111,58.2
12113,56.5
12115,57.1
12117,56.5
12119,58.7
12121,58.7
12123,58.7
12125,59.1
12127,56.5
12129,57.1
12131,58.7
12133,58.7
13001,58.7
13003,60.1
13005,60.1
13007,58.7
13009,58.7
13011,57.1
13013,56.5
13015,57.1
13017,58.7
13019,60.1
13021,58.2
13023,58.7
13025,59.1
13027,60.1
13029,56.5
13031,58.7
13033,60.1
13035,59.1
13037,60.1
13039,57.1
13043,58.7
13045,57.1
13047,57.1
13049,57.1
13051,58.2
13053,56.5
13055,59.1
13057,56.5
13059,56.5
13061,66.7
13063,56.5
13065,60.1
13067,56.5
13069,58.7
13071,58.7
13073,56.5
13075,58.7
13077,56.5
13079,59.1
13081,58.7
13083,56.1
13085,55.9
13087,58.7
13089,56.5
13091,57.1
13093,58.7
13095,58.7
13097,57.1
13099,60.1
13101,59.1
13103,57.1
13105,58.7
13107,58.7
13109,58.7
13111,55.9
13113,56.5
13115,57.1
13117,56.5
13119,57.1
13121,58.2
13123,55.9
13125,65.7
13127,58.7
13129,57.1
13131,60.1
13133,60.1
13135,56.5
13137,56.5
13139,56.5
13141,58.7
13143,63.7
13145,57.1
13147,57.1
13149,57.1
13151,56.5
13153,56.5
13155,58.7
13157,56.5
13159,59.1
13161,58.7
13163,60.1
13165,60.1
13167,60.1
13169,63.7
13171,59.1
13173,58.7
13175,58.7
13177,56.5
13179,56.5
13181,65.7
13183,58.7
13185,58.7
13187,58.1
13189,60.1
13191,59.1
13193,58.7
13195,57.1
13197,58.7
13199,58.7
13201,60.1
13205,58.7
13207,57.1
13209,60.1
13211,57.1
13213,58.1
13215,58.2
13217,57.1
13219,56.5
13221,59.1
13223,57.1
13225,58.7
13227,58.1
13229,60.1
13231,65.7
13233,57.1
13235,57.1
13237,57.1
13239,66.7
13241,56.1
13243,60.1
13245,58.2
13247,56.5
13249,58.7
13251,66.7
13253,60.1
13255,58.7
13257,57.1
13259,58.7
13261,58.7
13263,66.7
13265,58.7
13267,60.1
13269,58.7
13271,58.7
13273,60.1
13275,58.7
13277,58.7
13279,58.7
13281,55.9
13283,60.1
13285,58.2
13287,60.1
13289,66.7
13291,55.9
13293,57.1
13295,59.1
13297,57.1
13299,58.7
13301,66.7
13303,58.7
13305,58.7
13307,60.1
13309,60.1
13311,57.1
13313,57.1
13315,60.1
13317,58.7
13319,60.1
13321,60.1
15001,56.3
15003,57.3
15007,56.1
15009,56.3
16001,56.3
16003,56.6
16005,56.9
16007,56.6
16009,56.6
16011,56.6
16013,56.6
16015,56.6
16017,56.6
16019,56.9
